Date,Open,High,Low,Close,Volume
Mon Jul 06 2015 08:20:00 GMT-0400 (EDT),273.96,274.07,273.51,273.51,57.003899999999994
Mon Jul 06 2015 08:15:00 GMT-0400 (EDT),274.02,274.02,273.8,273.97,22.887556630000002
Mon Jul 06 2015 08:10:00 GMT-0400 (EDT),274.24,274.25,273.73,273.73,30.503000000000007
Mon Jul 06 2015 08:05:00 GMT-0400 (EDT),274.54,274.55,273.83,274.24,26.97027866000002
Mon Jul 06 2015 08:00:00 GMT-0400 (EDT),274.17,274.89,273.83,274.55,62.95749999999999
Mon Jul 06 2015 07:55:00 GMT-0400 (EDT),272.99,274.36,272.94,274.26,68.25779999999997
Mon Jul 06 2015 07:50:00 GMT-0400 (EDT),273.01,273.26,272.97,272.99,34.324642680000004
Mon Jul 06 2015 07:45:00 GMT-0400 (EDT),272.79,273.13,272.67,273.06,35.65309603999999
Mon Jul 06 2015 07:40:00 GMT-0400 (EDT),272,272.9,272,272.8,13.94614950999999
Mon Jul 06 2015 07:35:00 GMT-0400 (EDT),271.71,272,271.64,272,8.716701599999997
Mon Jul 06 2015 07:30:00 GMT-0400 (EDT),271.62,271.77,271.56,271.73,5.2252
Mon Jul 06 2015 07:25:00 GMT-0400 (EDT),271.54,271.99,271.51,271.66,24.152800000000013
Mon Jul 06 2015 07:20:00 GMT-0400 (EDT),271.33,271.55,271.31,271.55,20.423700000000018
Mon Jul 06 2015 07:15:00 GMT-0400 (EDT),271.24,271.41,271,271.41,7.6831
Mon Jul 06 2015 07:10:00 GMT-0400 (EDT),270.88,271.32,270.88,271.26,10.929399999999994
Mon Jul 06 2015 07:05:00 GMT-0400 (EDT),270.64,270.89,270.64,270.89,7.199799999999999
Mon Jul 06 2015 07:00:00 GMT-0400 (EDT),270.78,270.79,270.61,270.77,3.5419
Mon Jul 06 2015 06:55:00 GMT-0400 (EDT),270.66,270.82,270.58,270.79,14.340299999999992
Mon Jul 06 2015 06:50:00 GMT-0400 (EDT),271.04,271.04,270.56,270.56,2.9683000000000006
Mon Jul 06 2015 06:45:00 GMT-0400 (EDT),271.82,271.83,270.91,270.91,47.34168692999996
Mon Jul 06 2015 06:40:00 GMT-0400 (EDT),271.93,272.04,271.84,271.84,3.2428
Mon Jul 06 2015 06:35:00 GMT-0400 (EDT),271.57,271.93,271.57,271.93,9.036599999999995
Mon Jul 06 2015 06:30:00 GMT-0400 (EDT),271.44,271.58,271.44,271.57,2.1601
Mon Jul 06 2015 06:25:00 GMT-0400 (EDT),271.54,271.54,271.34,271.43,10.078419999999998
Mon Jul 06 2015 06:20:00 GMT-0400 (EDT),271.5,271.5,271.5,271.5,0.2313
Mon Jul 06 2015 06:15:00 GMT-0400 (EDT),271.84,271.84,271.5,271.5,5.849499999999997
